"","staid","flow","dates","qualcode","date","dateLub"
"1","01169900",13.8,2016-12-18,"A","2016-12-18",2016-12-18
"2","01169900",16.9,2016-12-19,"A","2016-12-19",2016-12-19
"3","01169900",17.9,2016-12-20,"A","2016-12-20",2016-12-20
"4","01169900",17.9,2016-12-21,"A","2016-12-21",2016-12-21
"5","01169900",17.9,2016-12-22,"A","2016-12-22",2016-12-22
"6","01169900",18.1,2016-12-23,"A","2016-12-23",2016-12-23
"7","01169900",19.7,2016-12-24,"A","2016-12-24",2016-12-24
"8","01169900",21.5,2016-12-25,"A","2016-12-25",2016-12-25
"9","01169900",21.3,2016-12-26,"A","2016-12-26",2016-12-26
"10","01169900",24,2016-12-27,"A","2016-12-27",2016-12-27
"11","01169900",25.2,2016-12-28,"A","2016-12-28",2016-12-28
"12","01169900",24.1,2016-12-29,"A","2016-12-29",2016-12-29
"13","01169900",22.4,2016-12-30,"A","2016-12-30",2016-12-30
"14","01169900",21.3,2016-12-31,"A","2016-12-31",2016-12-31
"15","01169900",20.9,2017-01-01,"A","2017-01-01",2017-01-01
"16","01169900",20.7,2017-01-02,"A","2017-01-02",2017-01-02
"17","01169900",23.1,2017-01-03,"A","2017-01-03",2017-01-03
"18","01169900",35.2,2017-01-04,"A","2017-01-04",2017-01-04
"19","01169900",40.6,2017-01-05,"A","2017-01-05",2017-01-05
"20","01169900",37.1,2017-01-06,"A","2017-01-06",2017-01-06
"21","01169900",34.2,2017-01-07,"A","2017-01-07",2017-01-07
"22","01169900",40.3,2017-01-08,"A","2017-01-08",2017-01-08
"23","01169900",39.5,2017-01-09,"A","2017-01-09",2017-01-09
"24","01169900",38.2,2017-01-10,"A","2017-01-10",2017-01-10
"25","01169900",47,2017-01-11,"A","2017-01-11",2017-01-11
"26","01169900",54.8,2017-01-12,"A","2017-01-12",2017-01-12
"27","01169900",56.6,2017-01-13,"A","2017-01-13",2017-01-13
"28","01169900",56,2017-01-14,"A","2017-01-14",2017-01-14
"29","01169900",51.3,2017-01-15,"A","2017-01-15",2017-01-15
"30","01169900",43.1,2017-01-16,"A","2017-01-16",2017-01-16
"31","01169900",37.8,2017-01-17,"A","2017-01-17",2017-01-17
"32","01169900",34.7,2017-01-18,"A","2017-01-18",2017-01-18
"33","01169900",33,2017-01-19,"A","2017-01-19",2017-01-19
"34","01169900",32.2,2017-01-20,"A","2017-01-20",2017-01-20
"35","01169900",32.1,2017-01-21,"A","2017-01-21",2017-01-21
"36","01169900",35.8,2017-01-22,"A","2017-01-22",2017-01-22
"37","01169900",37.6,2017-01-23,"A","2017-01-23",2017-01-23
"38","01169900",36.1,2017-01-24,"A","2017-01-24",2017-01-24
"39","01169900",36.5,2017-01-25,"A","2017-01-25",2017-01-25
"40","01169900",34.3,2017-01-26,"A","2017-01-26",2017-01-26
"41","01169900",33.3,2017-01-27,"A","2017-01-27",2017-01-27
"42","01169900",29.7,2017-01-28,"A","2017-01-28",2017-01-28
"43","01169900",25.7,2017-01-29,"A","2017-01-29",2017-01-29
"44","01169900",19.9,2017-01-30,"A","2017-01-30",2017-01-30
"45","01169900",21.6,2017-01-31,"A","2017-01-31",2017-01-31
"46","01169900",27.5,2017-02-01,"A","2017-02-01",2017-02-01
"47","01169900",22.6,2017-02-02,"A","2017-02-02",2017-02-02
"48","01169900",20.7,2017-02-03,"A","2017-02-03",2017-02-03
"49","01169900",27.3,2017-02-04,"A","2017-02-04",2017-02-04
"50","01169900",34.1,2017-02-05,"A","2017-02-05",2017-02-05
"51","01169900",23.9,2017-02-06,"A","2017-02-06",2017-02-06
"52","01169900",18.6,2017-02-07,"A","2017-02-07",2017-02-07
"53","01169900",24.7,2017-02-08,"A","2017-02-08",2017-02-08
"54","01169900",22.9,2017-02-09,"A","2017-02-09",2017-02-09
"55","01169900",20.4,2017-02-10,"A","2017-02-10",2017-02-10
"56","01169900",33.7,2017-02-11,"A","2017-02-11",2017-02-11
"57","01169900",47.9,2017-02-12,"A","2017-02-12",2017-02-12
"58","01169900",56.4,2017-02-13,"A","2017-02-13",2017-02-13
"59","01169900",45.7,2017-02-14,"A","2017-02-14",2017-02-14
"60","01169900",34.6,2017-02-15,"A","2017-02-15",2017-02-15
"61","01169900",24.8,2017-02-16,"A","2017-02-16",2017-02-16
"62","01169900",18.5,2017-02-17,"A","2017-02-17",2017-02-17
"63","01169900",19.4,2017-02-18,"A","2017-02-18",2017-02-18
"64","01169900",16.9,2017-02-19,"A","2017-02-19",2017-02-19
"65","01169900",19.5,2017-02-20,"A","2017-02-20",2017-02-20
"66","01169900",19.7,2017-02-21,"A","2017-02-21",2017-02-21
"67","01169900",23.6,2017-02-22,"A","2017-02-22",2017-02-22
"68","01169900",30.2,2017-02-23,"A","2017-02-23",2017-02-23
"69","01169900",101,2017-02-24,"A","2017-02-24",2017-02-24
"70","01169900",161,2017-02-25,"A","2017-02-25",2017-02-25
"71","01169900",116,2017-02-26,"A","2017-02-26",2017-02-26
"72","01169900",111,2017-02-27,"A","2017-02-27",2017-02-27
"73","01169900",105,2017-02-28,"A","2017-02-28",2017-02-28
"74","01169900",148,2017-03-01,"A","2017-03-01",2017-03-01
"75","01169900",146,2017-03-02,"A","2017-03-02",2017-03-02
"76","01169900",71.5,2017-03-03,"A","2017-03-03",2017-03-03
"77","01169900",39,2017-03-04,"A","2017-03-04",2017-03-04
"78","01169900",38.9,2017-03-05,"A","2017-03-05",2017-03-05
"79","01169900",42.1,2017-03-06,"A","2017-03-06",2017-03-06
"80","01169900",45,2017-03-07,"A","2017-03-07",2017-03-07
"81","01169900",43.7,2017-03-08,"A","2017-03-08",2017-03-08
"82","01169900",35.5,2017-03-09,"A","2017-03-09",2017-03-09
"83","01169900",31.4,2017-03-10,"A","2017-03-10",2017-03-10
"84","01169900",27.6,2017-03-11,"A","2017-03-11",2017-03-11
"85","01169900",31.1,2017-03-12,"A","2017-03-12",2017-03-12
"86","01169900",24.8,2017-03-13,"A","2017-03-13",2017-03-13
"87","01169900",25.6,2017-03-14,"A","2017-03-14",2017-03-14
"88","01169900",34.8,2017-03-15,"A","2017-03-15",2017-03-15
"89","01169900",40.3,2017-03-16,"A","2017-03-16",2017-03-16
"90","01169900",41.6,2017-03-17,"A","2017-03-17",2017-03-17
"91","01169900",31.9,2017-03-18,"A","2017-03-18",2017-03-18
"92","01169900",28.5,2017-03-19,"A","2017-03-19",2017-03-19
"93","01169900",33.2,2017-03-20,"A","2017-03-20",2017-03-20
"94","01169900",40.5,2017-03-21,"A","2017-03-21",2017-03-21
"95","01169900",41.1,2017-03-22,"A","2017-03-22",2017-03-22
"96","01169900",34.4,2017-03-23,"A","2017-03-23",2017-03-23
"97","01169900",32.9,2017-03-24,"A","2017-03-24",2017-03-24
"98","01169900",34,2017-03-25,"A","2017-03-25",2017-03-25
"99","01169900",34.7,2017-03-26,"A","2017-03-26",2017-03-26
"100","01169900",84.1,2017-03-27,"A","2017-03-27",2017-03-27
"101","01169900",95.4,2017-03-28,"A","2017-03-28",2017-03-28
"102","01169900",145,2017-03-29,"A","2017-03-29",2017-03-29
"103","01169900",98.1,2017-03-30,"A","2017-03-30",2017-03-30
"104","01169900",89.9,2017-03-31,"A","2017-03-31",2017-03-31
"105","01169900",81.2,2017-04-01,"A","2017-04-01",2017-04-01
"106","01169900",94.5,2017-04-02,"A","2017-04-02",2017-04-02
"107","01169900",121,2017-04-03,"A","2017-04-03",2017-04-03
"108","01169900",306,2017-04-04,"A","2017-04-04",2017-04-04
"109","01169900",242,2017-04-05,"A","2017-04-05",2017-04-05
"110","01169900",262,2017-04-06,"A","2017-04-06",2017-04-06
"111","01169900",270,2017-04-07,"A","2017-04-07",2017-04-07
"112","01169900",175,2017-04-08,"A","2017-04-08",2017-04-08
"113","01169900",149,2017-04-09,"A","2017-04-09",2017-04-09
"114","01169900",148,2017-04-10,"A","2017-04-10",2017-04-10
"115","01169900",138,2017-04-11,"A","2017-04-11",2017-04-11
"116","01169900",124,2017-04-12,"A","2017-04-12",2017-04-12
"117","01169900",104,2017-04-13,"A","2017-04-13",2017-04-13
"118","01169900",85,2017-04-14,"A","2017-04-14",2017-04-14
"119","01169900",72.2,2017-04-15,"A","2017-04-15",2017-04-15
"120","01169900",68.1,2017-04-16,"A","2017-04-16",2017-04-16
"121","01169900",64,2017-04-17,"A","2017-04-17",2017-04-17
"122","01169900",55.3,2017-04-18,"A","2017-04-18",2017-04-18
"123","01169900",51.3,2017-04-19,"A","2017-04-19",2017-04-19
"124","01169900",52.7,2017-04-20,"A","2017-04-20",2017-04-20
"125","01169900",107,2017-04-21,"A","2017-04-21",2017-04-21
"126","01169900",92.2,2017-04-22,"A","2017-04-22",2017-04-22
"127","01169900",64.8,2017-04-23,"A","2017-04-23",2017-04-23
"128","01169900",54.8,2017-04-24,"A","2017-04-24",2017-04-24
"129","01169900",60.2,2017-04-25,"A","2017-04-25",2017-04-25
"130","01169900",162,2017-04-26,"A","2017-04-26",2017-04-26
"131","01169900",102,2017-04-27,"A","2017-04-27",2017-04-27
"132","01169900",76.4,2017-04-28,"A","2017-04-28",2017-04-28
"133","01169900",64,2017-04-29,"A","2017-04-29",2017-04-29
"134","01169900",57,2017-04-30,"A","2017-04-30",2017-04-30
"135","01169900",55.8,2017-05-01,"A","2017-05-01",2017-05-01
"136","01169900",171,2017-05-02,"A","2017-05-02",2017-05-02
"137","01169900",92.9,2017-05-03,"A","2017-05-03",2017-05-03
"138","01169900",68.9,2017-05-04,"A","2017-05-04",2017-05-04
"139","01169900",172,2017-05-05,"A","2017-05-05",2017-05-05
"140","01169900",290,2017-05-06,"A","2017-05-06",2017-05-06
"141","01169900",164,2017-05-07,"A","2017-05-07",2017-05-07
"142","01169900",126,2017-05-08,"A","2017-05-08",2017-05-08
"143","01169900",103,2017-05-09,"A","2017-05-09",2017-05-09
"144","01169900",88.9,2017-05-10,"A","2017-05-10",2017-05-10
"145","01169900",77.9,2017-05-11,"A","2017-05-11",2017-05-11
"146","01169900",69.3,2017-05-12,"A","2017-05-12",2017-05-12
"147","01169900",76,2017-05-13,"A","2017-05-13",2017-05-13
"148","01169900",290,2017-05-14,"A","2017-05-14",2017-05-14
"149","01169900",134,2017-05-15,"A","2017-05-15",2017-05-15
"150","01169900",101,2017-05-16,"A","2017-05-16",2017-05-16
"151","01169900",81.7,2017-05-17,"A","2017-05-17",2017-05-17
"152","01169900",70,2017-05-18,"A","2017-05-18",2017-05-18
"153","01169900",66.7,2017-05-19,"A","2017-05-19",2017-05-19
"154","01169900",52.5,2017-05-20,"A","2017-05-20",2017-05-20
"155","01169900",46.9,2017-05-21,"A","2017-05-21",2017-05-21
"156","01169900",49.9,2017-05-22,"A","2017-05-22",2017-05-22
"157","01169900",49.1,2017-05-23,"A","2017-05-23",2017-05-23
"158","01169900",42.5,2017-05-24,"A","2017-05-24",2017-05-24
"159","01169900",63.2,2017-05-25,"A","2017-05-25",2017-05-25
"160","01169900",227,2017-05-26,"A","2017-05-26",2017-05-26
"161","01169900",109,2017-05-27,"A","2017-05-27",2017-05-27
"162","01169900",74.7,2017-05-28,"A","2017-05-28",2017-05-28
"163","01169900",77.7,2017-05-29,"A","2017-05-29",2017-05-29
"164","01169900",81.3,2017-05-30,"A","2017-05-30",2017-05-30
"165","01169900",92.7,2017-05-31,"A","2017-05-31",2017-05-31
"166","01169900",86.4,2017-06-01,"A","2017-06-01",2017-06-01
"167","01169900",59.9,2017-06-02,"A","2017-06-02",2017-06-02
"168","01169900",51.1,2017-06-03,"A","2017-06-03",2017-06-03
"169","01169900",45.1,2017-06-04,"A","2017-06-04",2017-06-04
"170","01169900",67.2,2017-06-05,"A","2017-06-05",2017-06-05
"171","01169900",293,2017-06-06,"A","2017-06-06",2017-06-06
"172","01169900",200,2017-06-07,"A","2017-06-07",2017-06-07
"173","01169900",115,2017-06-08,"A","2017-06-08",2017-06-08
"174","01169900",86.3,2017-06-09,"A","2017-06-09",2017-06-09
"175","01169900",69.3,2017-06-10,"A","2017-06-10",2017-06-10
"176","01169900",59.6,2017-06-11,"A","2017-06-11",2017-06-11
"177","01169900",49.7,2017-06-12,"A","2017-06-12",2017-06-12
"178","01169900",42.6,2017-06-13,"A","2017-06-13",2017-06-13
"179","01169900",36.8,2017-06-14,"A","2017-06-14",2017-06-14
"180","01169900",32.6,2017-06-15,"A","2017-06-15",2017-06-15
"181","01169900",34.7,2017-06-16,"A","2017-06-16",2017-06-16
"182","01169900",41.2,2017-06-17,"A","2017-06-17",2017-06-17
"183","01169900",35.5,2017-06-18,"A","2017-06-18",2017-06-18
"184","01169900",68.8,2017-06-19,"A","2017-06-19",2017-06-19
"185","01169900",75.5,2017-06-20,"A","2017-06-20",2017-06-20
"186","01169900",38.3,2017-06-21,"A","2017-06-21",2017-06-21
"187","01169900",30.1,2017-06-22,"A","2017-06-22",2017-06-22
"188","01169900",26.9,2017-06-23,"A","2017-06-23",2017-06-23
"189","01169900",31.7,2017-06-24,"A","2017-06-24",2017-06-24
"190","01169900",25.8,2017-06-25,"A","2017-06-25",2017-06-25
"191","01169900",22.6,2017-06-26,"A","2017-06-26",2017-06-26
"192","01169900",22.5,2017-06-27,"A","2017-06-27",2017-06-27
"193","01169900",22.8,2017-06-28,"A","2017-06-28",2017-06-28
"194","01169900",19.3,2017-06-29,"A","2017-06-29",2017-06-29
"195","01169900",25.5,2017-06-30,"A","2017-06-30",2017-06-30
"196","01169900",35,2017-07-01,"A","2017-07-01",2017-07-01
"197","01169900",23.1,2017-07-02,"A","2017-07-02",2017-07-02
"198","01169900",18.2,2017-07-03,"A","2017-07-03",2017-07-03
"199","01169900",15.7,2017-07-04,"A","2017-07-04",2017-07-04
"200","01169900",14,2017-07-05,"A","2017-07-05",2017-07-05
"201","01169900",13.1,2017-07-06,"A","2017-07-06",2017-07-06
"202","01169900",13.6,2017-07-07,"A","2017-07-07",2017-07-07
"203","01169900",17.1,2017-07-08,"A","2017-07-08",2017-07-08
"204","01169900",18,2017-07-09,"A","2017-07-09",2017-07-09
"205","01169900",13.1,2017-07-10,"A","2017-07-10",2017-07-10
"206","01169900",13.9,2017-07-11,"A","2017-07-11",2017-07-11
"207","01169900",13.8,2017-07-12,"A","2017-07-12",2017-07-12
"208","01169900",13.7,2017-07-13,"A","2017-07-13",2017-07-13
"209","01169900",13.3,2017-07-14,"A","2017-07-14",2017-07-14
"210","01169900",13.6,2017-07-15,"A","2017-07-15",2017-07-15
"211","01169900",12,2017-07-16,"A","2017-07-16",2017-07-16
"212","01169900",11.6,2017-07-17,"A","2017-07-17",2017-07-17
"213","01169900",10.1,2017-07-18,"A","2017-07-18",2017-07-18
"214","01169900",9.35,2017-07-19,"A","2017-07-19",2017-07-19
"215","01169900",8.64,2017-07-20,"A","2017-07-20",2017-07-20
"216","01169900",8.11,2017-07-21,"A","2017-07-21",2017-07-21
"217","01169900",7.65,2017-07-22,"A","2017-07-22",2017-07-22
"218","01169900",7.53,2017-07-23,"A","2017-07-23",2017-07-23
"219","01169900",16.6,2017-07-24,"A","2017-07-24",2017-07-24
"220","01169900",16.4,2017-07-25,"A","2017-07-25",2017-07-25
"221","01169900",11.8,2017-07-26,"A","2017-07-26",2017-07-26
"222","01169900",10.9,2017-07-27,"A","2017-07-27",2017-07-27
"223","01169900",11.7,2017-07-28,"A","2017-07-28",2017-07-28
"224","01169900",9.42,2017-07-29,"A","2017-07-29",2017-07-29
"225","01169900",8.37,2017-07-30,"A","2017-07-30",2017-07-30
"226","01169900",7.43,2017-07-31,"A","2017-07-31",2017-07-31
"227","01169900",7.08,2017-08-01,"A","2017-08-01",2017-08-01
"228","01169900",6.93,2017-08-02,"A","2017-08-02",2017-08-02
"229","01169900",7.4,2017-08-03,"A","2017-08-03",2017-08-03
"230","01169900",7.2,2017-08-04,"A","2017-08-04",2017-08-04
"231","01169900",8.79,2017-08-05,"A","2017-08-05",2017-08-05
"232","01169900",8.65,2017-08-06,"A","2017-08-06",2017-08-06
"233","01169900",6.99,2017-08-07,"A","2017-08-07",2017-08-07
"234","01169900",8.42,2017-08-08,"A","2017-08-08",2017-08-08
"235","01169900",7.66,2017-08-09,"A","2017-08-09",2017-08-09
"236","01169900",9.4,2017-08-10,"A","2017-08-10",2017-08-10
"237","01169900",7.35,2017-08-11,"A","2017-08-11",2017-08-11
"238","01169900",8.59,2017-08-12,"A","2017-08-12",2017-08-12
"239","01169900",11.4,2017-08-13,"A","2017-08-13",2017-08-13
"240","01169900",7.84,2017-08-14,"A","2017-08-14",2017-08-14
"241","01169900",9.22,2017-08-15,"A","2017-08-15",2017-08-15
"242","01169900",8.55,2017-08-16,"A","2017-08-16",2017-08-16
"243","01169900",7.29,2017-08-17,"A","2017-08-17",2017-08-17
"244","01169900",10,2017-08-18,"A","2017-08-18",2017-08-18
"245","01169900",10.6,2017-08-19,"A","2017-08-19",2017-08-19
"246","01169900",7.69,2017-08-20,"A","2017-08-20",2017-08-20
"247","01169900",6.49,2017-08-21,"A","2017-08-21",2017-08-21
"248","01169900",6.46,2017-08-22,"A","2017-08-22",2017-08-22
"249","01169900",12.3,2017-08-23,"A","2017-08-23",2017-08-23
"250","01169900",7.57,2017-08-24,"A","2017-08-24",2017-08-24
"251","01169900",6.22,2017-08-25,"A","2017-08-25",2017-08-25
"252","01169900",5.78,2017-08-26,"A","2017-08-26",2017-08-26
"253","01169900",5.53,2017-08-27,"A","2017-08-27",2017-08-27
"254","01169900",5.41,2017-08-28,"A","2017-08-28",2017-08-28
"255","01169900",5.06,2017-08-29,"A","2017-08-29",2017-08-29
"256","01169900",5.23,2017-08-30,"A","2017-08-30",2017-08-30
"257","01169900",4.92,2017-08-31,"A","2017-08-31",2017-08-31
"258","01169900",4.63,2017-09-01,"A","2017-09-01",2017-09-01
"259","01169900",4.46,2017-09-02,"A","2017-09-02",2017-09-02
